D ACCOUNTG                          	accountgone
D LABELDIS                          	labeldisk
D LD                                	ld
D LD_SUN3                           	ld.sun3
D LD_SUN3_                          	ld.sun3.new
D LD_SUN4_                          	ld.sun4.broken
D LESS                              	less
D LFSCHECK                          	lfscheck
D LFSCHKPT                          	lfschkpt
D LFSCOLLE                          	lfscollectdata
D LFSLIB                            	lfslib
D LFSQUICK                          	lfsquickcheck
D LFSREBUI                          	lfsrebuild
D LFSRECOV                          	lfsrecov
D LFSSTATS                          	lfsstats
D LN                                	ln
D LOADAVG                           	loadavg
D LOCKDIR                           	lockdir
D LOGIN                             	login
D LPC                               	lpc
D LPQ                               	lpq
D LPR                               	lpr
D LPRM                              	lprm
D MAIL                              	Mail
D MAKEBOOT                          	makeboot
D MAKEINDE                          	makeindex
D MAN                               	man
D MBOX_SAV                          	mbox.saver
D MESG                              	mesg
D MIG                               	mig
D MIGCMD                            	migcmd
D MIGCOM                            	migcom
D MIGRATE                           	migrate
D MKDIR                             	mkdir
D MKLFS                             	mklfs
D MKMF_PRO                          	mkmf.prog
D MKPASSWD                          	mkpasswd
D MKSCSIDE                          	mkscsidev
D MKTTY                             	mktty
D MKVERSIO                          	mkversion
D MODULOG                           	modulog
D MORE                              	more
D MT                                	mt
D MX                                	mx
D NETROUTE                          	netroute
D NETSTAT                           	netstat
D NEWACCT                           	newacct
D NEWSETUP                          	newsetup
D NEWSGROU                          	newsgroups
D NEWTEE                            	newtee
D NFSMOUNT                          	nfsmount
D NICE                              	nice
D NORM_SAV                          	norm.saver
D NSLOOKUP                          	nslookup
D NULLFILE                          	nullfile
D OLDWISH                           	oldwish
F OUT.;1                            	out
D PERL                              	perl
D PMAKE                             	pmake
D PNEWS                             	Pnews
D PREFIX                            	prefix
D PS                                	ps
D PWD                               	pwd
D RAIDIOC                           	raidioc
D RAWSTAT                           	rawstat
D RCP                               	rcp
D RDATE                             	rdate
D RECOVCMD                          	recovcmd
D RECOVINF                          	recovinfo
D RECOVSER                          	recovserverinfo
D RESTARTI                          	restartIPServer
D RESTORE                           	restore
D RMOLD                             	rmold
D RNMAIL                            	Rnmail
D RPCCMD                            	rpccmd
D RPCINFO                           	rpcinfo
D RPCSTAT                           	rpcstat
D SCVS                              	scvs
D SELECT                            	select
D SETHOSTN                          	sethostname
D SETUSERF                          	setUserFileType
D SHOWLFSS                          	showlfssegment
D SHUTDOWN                          	shutdown
D SIZE                              	size
D STAT                              	stat
D SYNC                              	sync
D SYS                               	sys
D SYSSTAT                           	sysstat
D TAPE                              	tape
D TAR_GNU                           	tar.gnu
D TCSH                              	tcsh
D TRACEROU                          	traceroute
D ULTRACMD                          	ultracmd
D UPDATE                            	update
D UPDATEBO                          	updatebootcmds
D VMCMD                             	vmcmd
D VMSTAT                            	vmstat
D WALL                              	wall
D WEEKLYDU                          	weeklydump
D XBUSCMD                           	xbuscmd
